"","p","m","n","l2_Y_bar","l2_theta_hat_SSLS","l2_theta_hat_LS","LCI_Y_bar","LCI_theta_hat_SSLS","LCI_theta_hat_LS"
"1",1,100,100,0.145619764042351,0.134879298835558,0.125926436274363,1.4407482151047,1.38112396813649,1.31428079930987
"2",1,1000,100,0.145619764042351,0.125293577734436,0.125926436274363,1.4407482151047,1.32716036104416,1.31428079930987
"3",10,100,100,1.11059886470938,1.02839457126278,1.12736511876601,3.96820145907424,3.74181918384067,3.49581563942127
"4",10,1000,100,1.11059886470938,1.10714486498566,1.12736511876601,3.96820145907424,3.5423009143375,3.49581563942127
"5",50,100,100,4.92751677126681,7.59822489077473,12.982626961958,8.69768893801206,8.22301023099929,7.70411634253655
"6",50,1000,100,4.92751677126681,11.959938784976,12.982626961958,8.69768893801206,7.80245572629987,7.70411634253655
"7",10,100,500,0.217193898146834,0.209084237088499,0.180768930607274,1.78556719618936,1.75607110605213,1.59888792035397
"8",10,1000,500,0.217193898146834,0.197973240119841,0.180768930607274,1.78556719618936,1.6638966152017,1.59888792035397
"9",50,100,500,0.934097631782332,0.939500421961233,0.975783087593031,3.92333594604975,3.85665760771922,3.50291589850837
"10",50,1000,500,0.934097631782332,0.879979511919019,0.975783087593031,3.92333594604975,3.64883627153845,3.50291589850837
"11",200,100,500,3.80160971333686,4.06276586692827,7.89913525957944,7.8441576021404,7.70995417521749,6.99677901874842
"12",200,1000,500,3.80160971333686,6.30694159851693,7.89913525957944,7.8441576021404,7.29124323697854,6.99677901874842
